userName,score,at,content
Abdul Rohman,5,2023-03-26 06:40:00,Puas
I Made Hendra Artawan,1,2023-03-26 06:22:08,"Maaf admin, saya uninstall GoJek, karena sudah jarang menggunakan GoJek, pembaharuan aplikasi GoJek menambah beban RAM dan memory internal ponsel saya. Sekarang saya beralih ke pesaing warna ungu"
Yusdar Yusdar,1,2023-03-26 06:07:45,"Akun pilih2 driver , bukan saya ngak latih , satu harian saya buka cuma di kasih 2 orderan , ada saham pun sama , kadang sama se x satu harian kosong , asyik jual atribut buat kaya perusahaannya Gojek bukan promosi dan orderan yang di banyakkan , mohon maaf saya ngomong begini karena Fakta benar adanya"
Berkah Jaya,5,2023-03-26 06:02:10,Good job
Mardi Di,1,2023-03-26 05:48:47,"Tidak ada bagus nya LG ni aplikasi ,kasih bintang satu aja .massa harus apdret trus photo KTP lah photo Wajah lah ,bikin ribet, klu KTP nya LG brurr tau gak jelas trus gak bs ... Maka nya makin gak jelas ni aplikasi jelek bgt"
Nurul Hafiza,1,2023-03-26 05:37:54,"Bintang satu,karna ada member ojol yang gak ramah dari aceh Namanya SHAHIBUL dan sasabella Gak beretika,gara gara mereka kesanya jadi males pakek gojek"
L Hakim II,1,2023-03-26 05:36:39,Tolong untuk update selanjutnya tambahkan fitur lupa nomor telepon/lupa email dan login pakai akun email..... Masa gara-gara nomor telepon yg lama hangus harus bikin akun email baru lagi 🤦
anak indonesia anak indonesia,1,2023-03-26 05:36:12,Kecewa gua sama gojek.saya driver goride.punya akun costomer juga.pinjaman uang ga di lolosin 2x ditolak.padahal sy butuh uang buat bayar kontrakan.krna order goride sepi.dan sistem model baru bikin susah dapat order.ujung2x sy terancam pindah kontrakan krna ga sanggup bayar.parah gojek konslet.yg kaya dipilih.ada bukti nya teman saya driver di lolosin bisa pinjam.padahal dia kaya.dan yg bener2x miskin butuh uang ditolak.dalam nama Yesus kiranya damai besertamu...kecewa dengan sistem gojek.
Muhammad Hamzah Bargaez,1,2023-03-26 05:23:35,Setiap mau melakukan pembayaran kenapa error terus
Maria Yosefina,4,2023-03-26 04:56:43,Cepat dan tepat
Lutfhi Alpian,5,2023-03-26 04:36:44,Selamat
Nyervice Ponsel,1,2023-03-26 04:30:17,"Makin lama, kurang baik transaksi pakai gopay, transfer ke bank, gangguan egk apa egk, status menunggu, mengajukan pelayanan, respon lama. Aduh. Menghancurkan nama sendri ini lama2"
3A_Abdul Faliq Habbi Nawa,2,2023-03-26 04:30:10,Tolong ya untuk gojek semisal kalo driver tidak merespon dan tidak menuju resto sama sekali mungkin bisa dibatalkan pesanannya karena ini sudah kejadian untuk sekian kalinya
Asep Rachmatullah,1,2023-03-26 04:18:30,Terlalu banyak biaya embel embel yg menjadi tarif sangat mahal
Bara Maulana,3,2023-03-26 04:08:41,"Gunakanlah rute jalan besar, ga semua custamer ingin memotong jalan' karna efek nya jalan potal,kebon bahkan kuburan di lewati rute,. Jek jek teralu"
Titin Minarti,1,2023-03-26 03:54:21,Sering error
Baehaki 24,5,2023-03-26 03:40:09,bagus
Taufik Topik,5,2023-03-26 02:46:21,Saya suka banget sama aplikasi ini
Abdulhlim Hlim,1,2023-03-26 02:30:55,Bgus
ari parma,2,2023-03-26 02:28:36,Isi token listrik lewat gojek token 20 harga 22500. Bagus beli lewat PLN mobile pembayaran lewat gojek cuma 21500. 20x transaksi saya hemat 20000.
Vijai Sing,5,2023-03-26 02:12:35,Mantap
Jubang Dai,5,2023-03-26 02:12:15,Mantap
Muhamad Albashir,5,2023-03-26 02:03:14,Mantap
muhammad yuda,1,2023-03-26 01:40:45,"Gojek lagi error atau kenapa ya saya dibuat rugi, masa saya mesen gofood Uda jelas jelas satu pemesannya makanan tapi kenapa jadi double pengiriman saya punya bukti aneh sumpah, tolong ya diperbaiki,ngaco gojek"
Tasa Batam01,5,2023-03-26 01:34:15,Mntap lah pokok nya
Rendra Panca,5,2023-03-26 01:18:43,"24 jam standby, ditingkatkan lg utk daerah pinggiran, kadang msh sgt susah dapat driver"
Kopi Bang Mantab,5,2023-03-26 00:59:31,"Layanan Gopaypinjam belum tersedia, kalo ada saya mau minjam buat modal dagang kopi Jek plisssss"
Georgie Backer Leegstra,5,2023-03-26 00:54:58,"Layanan gojek belum pernah mengecewakan. Selalu amanah, tepat waktu dan bertanggung jawab. Maju terus Gojek...."
ade nasarudin,5,2023-03-26 00:53:10,Good job
Heri sang Sniper,4,2023-03-26 00:44:16,aplikasi yang sangat memuaskan
Zamal Ahmad,1,2023-03-26 00:32:49,Verifikasi gopay plus di tolak terus. Memang KTP sudah blur. Lalu gimana solusinya mau transfer ga bisa jadinya. Gopay sekarang makin ribet
Ksatria Putra,1,2023-03-26 00:28:55,"Manu tarik tunai saldo goopay di eksplore kok hilang,,apa goopay ngk kerja sama lagi dengan BCA??mohon di jawab"
HSC Motor Concept,5,2023-03-26 00:28:08,Mudah dan bermanfaat
Rafif N,3,2023-03-26 00:26:48,Jujur saya agak kecewa dengan gojek. Saya sudah 4x transaksi menggunakan promo cashback gopay coins tapi setelah saya cek ternyata gopay coins saya tidak bertambah. Saya sudah lapor ke customer service tapi hanya dijawab dengan kata kata template.
jimmy akbar,5,2023-03-26 00:18:58,Ok
Nurul Shabrina,3,2023-03-26 00:14:17,Promo gofood sudah tidak seseru dulu yg bisa gabung promo! Skrg jadi lebih mahal ga seruu!!
Yadi Lintas,1,2023-03-26 00:13:52,iT nya mata duitan semua..akun mau gacor harus ikut member orderan..yang gacor trus trusan bawa orderan yang anyep jadi penonton..semoga gojek cepat gulung tikar bangkrut
Wijaya maulana smg1,1,2023-03-26 00:13:31,"Pelayan buruk,,kenapa gagal terus masuk padahal nyambung akun driver"
Kusnanto,5,2023-03-26 00:13:09,Aplikasi in sangat bagus....
Pengguna Google,5,2023-03-26 00:04:45,mantul pisan🙏
Ade Irvan,5,2023-03-25 23:51:14,Mantab
Adi Bantaika,5,2023-03-25 23:48:33,Mantap apk sangat msmbantu
Nanang Sutana,1,2023-03-25 23:45:48,Dari plus ke reguler kembali auto uninstall
Gita Arga,5,2023-03-25 23:35:51,Semoga saya bisa mitra Driver Gojek indonesia
Ijah Hodijah,5,2023-03-25 23:27:18,Mantap
ANDILOW,1,2023-03-25 23:18:13,tolong dong masa menarik 15000 ko jadi 13000 padahal di aplikasi riwayat transaksi 150000 pas buka GO-PAY 13000 ribu benar kecewa
Voli Lagi,1,2023-03-25 23:16:45,"Makin kesini makin mahal, bukan maen Biaya pesan 1000 Biaya aplikasi 3000. Kebanyakan pungutan biaya."
syarifah azzam,1,2023-03-25 23:15:47,IT SAMA MANAGEMENT GOJEK MAKIN KESINI MAKIN GAK JELAS SISTEM AMBURADUL BOBROK SYA MESEN GOFOOD UDH JELAS PERINCIANNYA 18RB GAK LAMA SY PENCET PESEN MALAH BERUBAH JADI 21RB LAH GMN CERITANYA ZAMAN DULU KALO UDH 10RB YDH SEGITU GAK BERUBAH
M Rizki Sulaiman,1,2023-03-25 23:08:54,Gimana saya mau update gopay plus sedangkan KTP saya sudah kabur dan hp saya pun camera nya jelek ribet amet sih
andy rahman,5,2023-03-25 23:06:52,oke
Jay Jaenudin,5,2023-03-25 22:49:39,Mantapp
Vina Safitri,5,2023-03-25 22:44:57,Bagus
Ade Dindin,3,2023-03-25 22:36:05,Serrr...
Dandy supriatna,1,2023-03-25 22:29:42,Aplikasi lebaaayyy pake ktp lah nyatanya gk bisa juga ahhh gk guna sumpah gopaynya kurang teknisi IT sini kabarin saya biar saya handle semua aplikasi kalian
Anday Free,1,2023-03-25 22:25:56,Casback pelit
taufan sugiarto,1,2023-03-25 22:22:55,"Babi emank ni gopay saya sudah lama pakai gopay plus tiba"" jadi gopay biasa anjink emang bangke sy tu pake gopay setiap hari top up beli pulsa beli listrik transfer gopay transfer duit ke bank eh tiba"" gopayplusnya di balikin gopay biasa dasar babi"
Vivi Yulianti,1,2023-03-25 22:16:25,"Bulan lalu promo gofood mantap sekali cashbacknya.. Begitupun promo langganan scan. Tapi sekarang masa promo gofood udah ga mantap lagi, promo langganan juga 1% maksimal cashback 500 rupiah. Semoga ini bukan tanda2 gojek mau bangkrut ya. Semoga bulan depan promo promo gofood dan voucher langganan semakin mantap. Jujur aja kalau promo kaya gini malas make aplikasinya. Dibandingkan dengan platform sebelah untuk food masih bisa double vocher, promo langganan di sebelah juga gede cashbacknya."
hardian syaputra,1,2023-03-25 22:09:31,Makin di update bayar pakai gopay susah
Aris Santoso,5,2023-03-25 22:07:39,Gooddd lock perbaiki kata kunci gojek costumerya karena lalamove mengambil kata kunci gojek coatumer thanks.. sukses ßlalu
Ilhamsyah,1,2023-03-25 22:07:03,Ngak bagus bang
Wiwi Rosita,4,2023-03-25 21:49:04,mantap
Adi Saputra,4,2023-03-25 21:48:25,Keren
Awal Udin,5,2023-03-25 21:47:54,Matapp deee
Linda Rismayani,5,2023-03-25 21:29:35,Gojek sangat membantu sekali☺️
vinka alipia Lestari,5,2023-03-25 21:26:28,Terima kasih ..
saiful anwar,1,2023-03-25 21:17:17,"Pakai Gopay Plus dari tahun 2019, dan hari ini (25/03/23) ada notif gopay kembali ke gopay biasa karena kartu identitas tidak valid, kalian (tim validasi Gojek) nggak bercanda kan?"
Sapri Yanto,3,2023-03-25 21:13:15,"Semenjak naek versi suka Eror klo mau tf selalu susah, pada hal sinyal bagus."
rizky Rama,1,2023-03-25 21:12:07,Bagus banget
Rahmat Junaedi,5,2023-03-25 21:09:01,Good...
Ma'ruf Absor,1,2023-03-25 21:08:37,Abis update malah lemot
Kundori “Edo”,3,2023-03-25 21:03:01,"Moho untuk rute harusnya mode pengguna motor.dan faktanya rute yg di pakai oleh aplikasi adalah rute pejalan kaki. Adapun driver bisa mengantarkan customer dalam waktu dekat atau waktu yg lebih cepat itu merupakan salah satu kelebihan atau kemampuan si driver atau referensi dari customer.bukan di mna ada rute yg terdekat lantas di jadikan argo.sehingga kami dpt makian dr warga dr rute jln setapak tersebut,belum lg rute di aplikasi ternyata terhalang tembok alias permanen seperti rute komplek."
Eko Susilo wibowo,5,2023-03-25 21:00:11,Good Gojek
Aji Barang,1,2023-03-25 20:43:57,"Gopay later dibekukan permanen, padahal saya gapernah ngapa2in lucu gojek, kredit aja gapernah udah dibekukkan padahal gue driver gojek juga wkwkwkwjwjw salahnya apa minn transaksi tiap hari transaksi 😅😴😴😴 lemot baget ni aPlikasi"
Muhamad Rizki,5,2023-03-25 20:37:39,Mang gojek baikk hati banget aduhh🥰
Rosya,4,2023-03-25 20:32:55,"Laporan kalau akun tidak bisa dapat promo, dan ditanggapi dengan baik masalahnya. Sekarang sudah ada promo lagi"
Aini Puti,5,2023-03-25 20:24:16,alternatif saat hujan terus ga bisa cari makan gofoodin aja
Lukman Dedi Anggoro,5,2023-03-25 20:16:49,mantap
Hi KataRindu,5,2023-03-25 20:15:36,Good
Anggar Satria,5,2023-03-25 20:07:32,Sangat membantu
toto marcell,5,2023-03-25 19:59:07,Siiip
Mad Soleh,5,2023-03-25 19:57:35,Mantap di mana saja dan kapanpun bisa!!
Slamet Cintadia,5,2023-03-25 19:51:45,ok
Wulan Octarya,1,2023-03-25 19:39:56,Tidak bisa update dan verifikasi data. Aneh aplikasinya nanti kalo tidak verifikasi di blokir. Tidak ada solusi dari gojek
ajidwiky darmawan,1,2023-03-25 19:39:35,"Aplikasih payah, ketika hujan driver semua menonak dan jika di ambil sengaja tidak tidak bergerak agar konsumen membatalkan nya"
Agus Susanto,5,2023-03-25 19:28:55,Memuaskan
Siti Hendi,5,2023-03-25 19:27:53,Lancar dan aman
Acong Tea,5,2023-03-25 19:24:18,Plyanan ny ok. Driver ny jga ramah2
mr grey,1,2023-03-25 19:22:56,"Jelek bener ini aplikasi baru juga di download, pas daftar di kasih link yang kaga bisa kebuka keterangan jaringan terputus padahal jaringan bagus dan lancar"
Antarjemputbolang Bolang,1,2023-03-25 19:22:21,Order sepi dilalahkan simurah maxim
Abdi Negara,5,2023-03-25 19:16:37,Ok
DIMAS SURYA,1,2023-03-25 19:13:07,Rusak ngirim ke dana ngga bisa!!
imam wahyudi,5,2023-03-25 19:08:13,istimewa
Otong Lenong,5,2023-03-25 18:57:52,keren
Ruslan Kusin,5,2023-03-25 18:54:51,oke bngat indonesia punya
paquito tiktok,5,2023-03-25 18:48:00,APK SANGAT BERGUNA UNTUK JB
KIKIJAYA Dewo,5,2023-03-25 18:38:36,Oke
Hari Xi,1,2023-03-25 18:34:52,Kenapa mau topup pake indomaret kok malah ga bisa bisa tolong diperbaiki
Budak Gaming,2,2023-03-25 18:26:56,Untuk driver motor kalo lagi hujan kalo ga niat cari penumpang mending matiin aja hpnya .
agus harianto,1,2023-03-25 18:22:13,"Diskon yg mau dipasang tidak bisa, ditulis offer error, aplikasi macam apa klo gini?"
Mirnabara 94,5,2023-03-25 18:18:20,Mantap pelayanan nya
Linda Erlinda,5,2023-03-25 18:13:33,"sampe sekarang ga pernah kecewa pake gojek,masih yg paling TOP,drivernya ok2"
Linda Suparamdhani,5,2023-03-25 18:06:37,Sangat membantu sekali🥰
okyono yono,5,2023-03-25 18:06:31,Bagus sesuai dengan yang diharapkan dan gampang aplikasinya dipakai mudah dan simple
Teco mahesa Mahesa,5,2023-03-25 18:02:42,Sangat membantu dalam perjalanan
Danay Family,5,2023-03-25 18:00:49,"Simple, bermanfaat"
Ameera Home,5,2023-03-25 17:52:50,Sangatlah membantu
Ooh Dekuy,1,2023-03-25 17:51:09,DRIVER GAJELAS! LELET! UDAH NUNGGU 5 MENIT GAK DATENG2! DI CHAT GAK DI BALES! DIICANCEL MAU PESEN LAGI HARGA MALAH JADI NAIK APLIKASI BODOH! BIKIN ORANG EMOSI PUASA2!
Deden Erwin suherman,5,2023-03-25 17:50:01,Akurat cepat dan ok banget!!!
Riko_gaming Rico,3,2023-03-25 17:49:22,Minta tolong di parbaiki dong waktu pesen makanan di gofood mahal pdahal pas pesen makanannya murah tpi pas udh pesen mahal karna ongkir lebih mahal pdhl udh pakai voucher
shutonk kings,5,2023-03-25 17:46:39,Mantap
Rizal Effendi 'Lim',5,2023-03-25 17:43:56,Sangat bermanfaat
Budhi Adianda,5,2023-03-25 17:37:33,harga menyesuaikan agar terbantu masyarakat menengah kebawah
Pengguna Google,1,2023-03-25 17:37:16,"Padahal saya driver goride ,masa tidak bisa masuk ke gopay plus+ awal pertama bisa kenapa pada saat minta upgrade e ktp gagal yang tadinya gopay plus+ akibat gagal upgrade e ktp jadi tidak bisa kirim 2x uang ke temen,payah saya driver goride dari tahun 2016 gara2x upgrade soal e ktp jadi gopay biasa hadeeuhh macam apalagi nih gopay numpuk gak bisa transfer."
Rererahmafadilah 05,5,2023-03-25 17:35:43,"Bagus , amanah ,terpercaya"
chila mursalina,5,2023-03-25 17:31:15,Keren
Yaqub Us,5,2023-03-25 17:31:00,Oke mantab
mega samosir,5,2023-03-25 17:25:08,Tambahin promonya lagi
Begeng Tulang,5,2023-03-25 17:22:49,Ok
Rizal Nawawi,5,2023-03-25 17:20:49,"Min, tolong ditambahkan pengubahan alamat di gofood, kemarin aku pesen.. Alamatnya error, gak bisa di ganti.."
Zamzam Surya Trisna Wilaga,1,2023-03-25 17:05:48,Sulit sekali mendapat verifikasi link via sms tidk muncul2 aneh
Aesthetic Chan,1,2023-03-25 17:04:16,Udah laper bngt pake promo suka batal sendiri ajg gajelas
Ekko Kun,5,2023-03-25 16:56:06,Peningkatan bagian maps atau pemetaan. Antara konsumen dan driver.
Asih Pujiati,5,2023-03-25 16:55:06,Bagus Mau beli apa
udinn petottt,1,2023-03-25 16:48:57,"scan qr qris tulisannya g dikenal trs, fix lah masalahnya. Pake ovo aja bisa ke scan qrisnya, pake gojek masa gabisa."
uN uW,4,2023-03-25 16:48:54,Mantap
Devi Puspita,5,2023-03-25 16:48:16,Sangat baik
Andi Septian,5,2023-03-25 16:44:29,"bagus app nya, mantap 👍"
Pipit Yenita,5,2023-03-25 16:43:30,dapat dipercaya
Antari Homes & Living One stop service,5,2023-03-25 16:37:01,Ntab
Deck Setiadi,5,2023-03-25 16:29:37,Membantu banget
Suwari Kota,5,2023-03-25 16:26:03,"Mantap,gojek maju terus"
Ivan Soedira,5,2023-03-25 16:11:31,"seringnya pakai gosend utk pesanan via aplikasi toped, selama ini memuaskan.... hanya saja jgn cepat puas krn kompetitor gojek slalu mengintai baik dari segi service maupun harga....😀"
Agung Marbun,5,2023-03-25 16:09:15,GG
Sumire,3,2023-03-25 16:08:08,"coba klo bisa pembayaran nya pakai dana, bakal memudahkan orang2 juga"
Nadira azahra,5,2023-03-25 16:03:21,Oke
Linda Ernie,5,2023-03-25 16:00:01,Senang apalagi ada disc .. 😍
Akbar Jpt,5,2023-03-25 15:51:16,Aplikasi nya sangat bagus
Dadang Wardaya,5,2023-03-25 15:44:44,Mak nyusssss
April Lita,1,2023-03-25 15:42:12,"Baru lagi pake go food, tiap mau nyesuaiin titik lokasi pas pesen dan udah dapet driver tiba tiba titiknya berubah. Dan driverny jadi ngomel"
Zahra Aja,1,2023-03-25 15:38:35,"Kecewaa,,, mau akftifin nomor hp lama loding lamaa bangeeett"
Jalaludin Simamora,5,2023-03-25 15:32:06,Aku sangat terbantu
Ika Isdayanti,2,2023-03-25 15:28:01,Kenapa internet nya tidak bisa konek padahal sinyal nya bagus?
Aditya Cholili,5,2023-03-25 15:19:37,Sangat membantu
Jahrotun Nisa,5,2023-03-25 15:11:39,Bermanfaat
IJAL SUS,5,2023-03-25 15:10:20,game bagus bisa dapet motor ama mobil tapi gk permanen game jelek
Pepen Ependi,1,2023-03-25 15:08:27,"maaf bintaang 1 akun berubah sepihak sama gojek...gak bisa buat ransfer, gak bisa buat belaanja di alfa...terus saldo saya mau diapain...maau di hak milik sama gojek???...minta di updater ktp gagal...dki sekarang ktpnya digital jek PAHAM????...nambah CEO bukan tambah bagus malah makin jelek"
artur rizki,5,2023-03-25 15:07:18,Cepat ga pake lama
Msyahid Abdillah,5,2023-03-25 15:04:15,Ok
Alex Turner,5,2023-03-25 14:56:10,"Tolong jangan tawari saya gopay later, saya tidak mau punya hutang. Trima gaji."
Sri Widodo,5,2023-03-25 14:54:14,Ok banget
Atara Graciella,1,2023-03-25 14:53:33,Applikasi makin Buruk.... Taiii
gua nuha nuha,5,2023-03-25 14:48:24,mantap
RiDHO Cennel,5,2023-03-25 14:45:55,aku baru pake aplikasi gopay dan sangat bangus terutama untuk transaksi jual beli makanan aku kasih bintang 5 ya
KoPiHiTaM Geming,1,2023-03-25 14:45:32,"Tolong bantuan buat login ulang karna kartu nya hilang, saya mau bayar paylater mohon segera di cek"
Adink Saepudin,4,2023-03-25 14:44:45,Ok mantap
Siti Nurhasanah,5,2023-03-25 14:44:03,Bagus banget pelayanannya
Sri Soeparti,4,2023-03-25 14:39:05,"Te,r,tc cff4 4 5ef ts5 tzc3xcfgsvf"
Janu Kurniaji,1,2023-03-25 14:35:01,Kenapa status gopay plus saya di cabut padahal sudah aktif bertahun tahun No respect Padahal juga konek ke akun driver Gak ngerti saya Saya pernah beli paket aja 75k paket gak masuk gopay ilang Komplainnya ribet alhasil saldo ilang Buat pembelajaran bagi pengguna lainnya kalo kejadian seperti ini Kecewa berat
atarofna biannana,5,2023-03-25 14:27:20,jos
R Fone,5,2023-03-25 14:23:15,Ok
adek syahputra,1,2023-03-25 14:20:32,Terlalu buruk
Dedi Mario sitopu,5,2023-03-25 14:12:07,makasih gojek sdh menjadi bagian saya untuk melakukan transsaksi apapun di aplikasi gojek dan sangat aman aplikasi nya.klo bisa biaya admin nya di kurangin dong.
Ahmad Ramdhan,4,2023-03-25 14:09:07,Aplikasi nya bagus dan membatu
london,1,2023-03-25 14:07:06,Bosok
indra adi cipta,1,2023-03-25 14:05:16,"Gopay plus kok tiba2 jadi gopay biasa,dengan alasan data tidak sesuai,mau maling ya,,kalau sampai data saya sudah benar sesuai ID ,NIK foto dll,siap2 gojek akan firal sebagai penjajah"
Mencari 500rb,5,2023-03-25 14:04:56,Mantap
Danielfitriyansulaiman09,5,2023-03-25 14:02:22,Gratisin gw makanan
Abraham Bisma,1,2023-03-25 13:58:43,Not good service..
hariyani sitohang,5,2023-03-25 13:56:07,"Ramadan tiba,Ramadan tiba,tiba tiba Ramadan, tiba tiba lebaran, tiba tiba syukuran, tiba tiba lahiran"
Yamaha Xride,5,2023-03-25 13:54:43,Oke sangat membantu
Gatot Kaca,5,2023-03-25 13:54:37,apps paling bagus ini.good protection.bnyk promo nya trutama food nya.mantap lah
Wayan Joy,1,2023-03-25 13:53:43,Fitur tarik tunai tanpa kartu di ATM BCA sudah tidak ada / tidak aktif
Achmad luthfi Naba'diyah,5,2023-03-25 13:47:15,Lebih mudah perjalanan
Yuda Laksono,5,2023-03-25 13:39:32,Merdeka
indi ajah,5,2023-03-25 13:35:30,"Bintangnya bagus, tapi orderannya gak ada"
Odik Kiwill,1,2023-03-25 13:29:39,"Gopay kek taik dari tadi malam tf ga masuk sampai skrng 3x terjadi, tf bukan saldo kecil anjir, udah gitu kebak potongan 2.500"
echan affandi,5,2023-03-25 13:26:14,Ok
Agatha Lee,1,2023-03-25 13:24:30,Driver banyak yang bermasalah. Sudah dipesan tapi mereka lama untuk bergerak nya. Belum sesuai titik tapi ngomong Uda sesuai titik. JELEK!
Tita Karmilawati,1,2023-03-25 13:12:38,Aplikasi buruk
Muhammad Farep,1,2023-03-25 13:02:01,Knapa setiap melakukan tranfer berkali kli psti ntr tidk bisa menggunakan fitur transfer lgi
Rusma Jaya,5,2023-03-25 12:56:08,Mantap
Alam Rizz,3,2023-03-25 12:50:05,"tolong dong buka blokiran gopay saya,itu punyaku satu""nya dan kenapa harus kena blokir"
Gunta Wati,5,2023-03-25 12:49:49,Mohon bantuanya saya susah unduh aplikasi ini mana baru isi saldo dan susah verifikasi
Letoy 321,1,2023-03-25 12:41:07,"Maksudnya apaan ya diskon jiwa toast yg di semarang nya kok eror ya gbisa dipake pdhal dh memenuhi syarat lho, minimal ngasi diskon yg niat lah blok"
Pengguna Google,2,2023-03-25 12:39:53,Aplikasi makin update makin LEMOT aja.
Desti Hungkul,5,2023-03-25 12:35:47,Untuk gopaylater sayang sekali saya member sudah 2tahun lebih dan transaksipun sudah banyak sekali tapi pas pengajuan tiap tanggal yg di tentukan selalu di tolak Mulu hmm
Badali Batulicin,1,2023-03-25 12:35:31,Tolong lah APKNYA di update saya mau top up di mobile legends pas saya liat saldo saya udh habis 200k di tarik tanpa se izin saya saya aplikasi yg sangat tidak bagus
Bobby Pratama,5,2023-03-25 12:35:04,Good Application.
Verie Lim,1,2023-03-25 12:33:59,"Driver double job makanan sering kepending lama sampai ditempat, ditindak lanjut driver nakal"
Dinda Aulina,5,2023-03-25 12:28:12,Terbaik dari yang paling baik
Evam Manggor,5,2023-03-25 12:27:17,Ngantar nya tepat waktu sama ojeknya baik
eka tedi,1,2023-03-25 12:08:52,"Woy lah ini gimana si, masukkin pin salah mulu, giliran diganti selalu tulisan gak ada internet, bahkan otp salah, eh dapet sms udah diganti, pas masukkin pin baru gagal lagi, plis lah"
Joker,1,2023-03-25 11:59:51,"Sdah sekian lama pakai gojek di gopay plus, tau2 dibalikin lagi ke gopay biasa. Aneh, padahal transaksi rutin pakai gopay"
pmain vainglory,1,2023-03-25 11:54:41,"Ongkirnya jahanam gila mahal banget, pesen minuman harga 8rb jarak 3km ongkir 30rb sialan"
Bella Sania,5,2023-03-25 11:51:54,Aplikasinya peraktis bisa di pake buat apa aja dan kalo belo makanan harganyatuh murah banget fiks sih ini aplikasi terjamin
Datila03 Sabil,1,2023-03-25 11:48:07,"Ga guna lama lama aplikasi nya, apalagi driver²nya dia yang salah dia yang ngotot ditambah manggil pasukan"
Singgih Budivanto47,1,2023-03-25 11:35:01,"Kalo sudah capek istirahatlah jek,kamu dah kaya dulu,kamu tu dah jelek sekarang"
Segerwi sw,1,2023-03-25 11:34:35,Si paling buruk ngak bisa d update..mohon d tindak lanjuti
ranibangun munthe,5,2023-03-25 11:33:55,👍
Rama le bukan kaleng sarden,1,2023-03-25 11:32:42,biaya mhal dk kyak apliksi sblh
Hadad Alwi,4,2023-03-25 11:25:29,Ok
Nur Bani,5,2023-03-25 11:25:21,pelayanan baik
Irvan Syahputra,5,2023-03-25 11:18:30,Sukses selalu
Hadiantini Wini,1,2023-03-25 11:18:02,"Tolong buat gojek jgn terlalu untung besar , kasian customer setia sama driver nya , apalagi kalo order food trs si driver dpt dua order , ongkos yg kedua cuma 2 ribu , padahal customer bayarnya normal alias mhal . Tolong lebih bijak lagi jangan smpe ada salh satu pihak yg d rugikan , bekerja dengan jujur biar berkah biar lebih maju kedepannya ."
Badrul Mustofa,2,2023-03-25 11:16:17,Tolong di perbaiki masalah gofood reguler sama hemat enggak ada bedanya sama sekali.... Saat pakai voucher diskon dan ongkir hemat harga nggak berubah tidak sesuai dengan layanan yang di sediakan juga waktu estimasi juga masa buat apa di bedakan di hitung juga cuma beda tulisan reguler sama hemat hasil sama aja nggak ada perbedaan y... Terimakasih...
Diah Indriani,5,2023-03-25 11:13:59,Good
Askar Askar,5,2023-03-25 11:13:21,Sukses terus
Subrata Darma,5,2023-03-25 10:58:30,GG
Firman Marpaung,1,2023-03-25 10:55:42,"Buka mata gojek sama driver2 dijalanan, banyak keluhan driver2 kepada pelanggan sulit dapat order, nahan panas, ujan, segala kondisi, belum lg tingkat kecelakaan tinggi, Banyak driver yg buat isi bensin aja susah, sehari dapat 1,2,3 bahkan ada yg berhari hari gak dapat order. Gojek besar karna mitra driver, jangan lupa kacang sama kulit, driver jangan dikotak-kotakin, driver itu satu kesatuan, jangan ada prioritas dan ada yang tidak diperdulikan. #MANUSIAKANMANUSIA #JADILAHCERDIKIAWAN"
Fikar Aditia,5,2023-03-25 10:53:24,Mantap pokok nya cs fast respon semoga banyak rezekinya
Sri Hartini,5,2023-03-25 10:42:12,Driver ramah👍👍
Bambang Sutejo,1,2023-03-25 10:42:05,Gopay = ribet
Agim Nastiar,5,2023-03-25 10:41:57,Bgus
Wandha novpriyani Tresnawan,1,2023-03-25 10:41:24,Saldo ditahan . Cs gak ada respon. Gak ada penyelesaian. Sangat menyepelekan customer. Bagi kalian mungkin uang segitu kecil ya sampe gampangin banget. LUAR BIASA. KEMBALIKAN UANG SAYA! Nb. Sudah laporang tidak ada respon yg membantu
Mulyadi Gomul,5,2023-03-25 10:38:54,Ayoooo..gojek...gacorin...akun sy...buat bayar...hutang🙃
Tyo Saja,5,2023-03-25 10:37:23,"Bagus, OK 👍"
REPUBLIK NGEHE,1,2023-03-25 10:33:50,Udah Mulai Gak Bener Nih Masa Baru Download Pake Nomer Sendiri Tiba Tiba Namanya Orang Lain Dan Emailnya Orang Lain... Gimana Ceritanya
Anggit Esa,5,2023-03-25 10:32:54,Aplikasi sangat membantu.. tapi kenapa ya kalau lagi transaksi itu selalu tidak ada koneksi jaringan..padahal kuota banyak dan signal penuh..
ikhbal Marfiando,1,2023-03-25 10:31:37,Isi kuota dari tanggal 17 sampai sekarang nggak ada masuk. Lapor cs malah nggak ada tanggapan
Rodavid girsang,5,2023-03-25 10:24:57,very good apk
aurel AR,5,2023-03-25 10:18:55,bagus banget
Yuni Yuningsih,3,2023-03-25 10:17:04,kurang ramah.. jutek
Stay With Gaming,5,2023-03-25 10:16:43,Tul
Brilian Channel,5,2023-03-25 10:15:45,Ok
