content,score
Alhamdulillah bagus,5
Mudah dan cepat responnya,5
Ok,5
sangat membantu,5
keren,5
sampai saat ini masih ok sih,5
puas,5
"TERBAIK, Sangat Membantu👍",5
Mantap,5
Baiklah,5
sangat mudah melakukan. pembayaran apapun melalui shoppy mantap 🤩,5
Sangat membantu,5
Ok,5
mantaaap,5
Baik,5
Pakai kode ini untuk dapat koin (ZBWMLXJB6),5
mantab,5
bagis,5
good,5
spinjam gagap terus,5
mantaaap,5
sangat bagus ga ribet pake shoppepay,5
terbaik👍👍👍👍👍👍👍👍👍,5
Praktis,5
okke,5
"Pengalaman menggunakan ShopeePay sangat memuaskan. Mudah digunakan, saldo cepat masuk, dan banyak promo menarik. Recomended banget! Fitur ShopeePay bikin belanja jadi lebih hemat dan praktis. Sangat cocok untuk yang suka belanja online atau bayar tagihan. Kode referral ShopeePay bener-bener menguntungkan! Bisa dapet bonus untuk setiap teman yang daftar pakai kode kita. Cocok banget buat nambah saldo ShopeePay",5
ShoopeePay berikan yang terbaik,5
sangat baik,5
ter the best ....,5
Iya,5
mantap,5
Bagus,5
Sangat mmbantu pembelian..,5
Mantappp,5
Puas,5
Udah bagus banget untuk toko tokonya... Tapi masih ada toko toko yg suka tipu tipu,5
Good,5
Menbantu sangat,5
good,5
Mantap,5
Ol,5
blum di coba spa tau ampliksinya lbih baik,5
"sangat membantu, tingkat kan kualitas pelayanan yang lebih lagi,goodll luck",5
good,5
Sangat senang sekali memuaskan,5
"mantap, praktis",5
"Sangat membantu dan pelayanan terutama pengiriman barang Sangat cepat Tapi kenapa saat ini tidak bisa membuka spinjam, jadinya GA tau gimana bayarnya kk",5
memudahkan pembayaran,5
"Sangat mmembantu, memudahkan cara bertransaksi",5
mantul 👍,5
Good,5
cepat respon,5
"Saya sudah membayar tagihan saya,kenapa masih di tagih.sekarang sudah ada tunggakan nya lagi.kayak mana kerja kalian.nggak becus",1
Mantappp,5
Mantap,5
Bayar nya simpel gak bikin ribet,5
Mantap 👍👍👍👍,5
Ok,4
Mantap,5
Berrmanfaat,5
👍👍👍👍,5
"Shoppe sangat luar biasa,..good,..good",5
mantap,5
bagus,5
kenapa akun sy di batasi ga di kembalikan lagi padahal udah pengajuan..ga ada respon,5
baik,5
Bagus bangget,5
Okk,5
bagusss bngt,5
is the best,5
Respon cepat dan baik juga ko pelayanan nya,5
Godd patner,5
puas,5
Sangat membantu,5
harus konsisten !! udah bintang 5 nii,5
mantap,5
"Oke saya suka,, Semoga di shopy ngak ada penipuan lagi,, Bila ada semoga cepat di blokir bila di komplain.",5
Gk bisa pkt shoppylater,2
Mice,5
downloadni apk buat top up lewat e wallet eh malah gak bisa di apknya hadeh scam bat najis,1
Bagus tapi tidak bisa minjam kan dana,5
secepat kilat,5
lumayan cept,5
bagus,5
ok,5
Bagus,5
"Sudah bagus, pertahankan kwalitas dan pelayanan",5
Seneng sekali dan membantu sakali,5
haloo . ka saya lupa nomer hp login nya kaka . mohon dibantu agar akun saya aktif kembali .. saya punya data diri ktp serta wajah ka.... mohon ditanggapi dengan sangat .🙏🙏 terimakasih...,4
Sangat membantu kami menjadi mudah dan cepat dalam bertransaksi,5
Belanja di shopee samgat menarik,5
Sangat mudah dan nyaman menggunakan shopeepay,5
Pembayaran lebih mudah,5
Pinjem blm pernah disetujui,4
Mantap,5
baik,5
Top,5
Semoga membantu,5
bagus aplikasi nya..,5
"kerennnnn, sangat membantu",5
Di coba dulu,5
mantap,5
"Ngasih promo spinjam 20k tiba"" pass mau bayar malahan nggak bisa abis itu di mulai ulang udah ilang pocernya,gimana sistemnya malahan jadi buruk",1
Keren,5
"sangat membantu,",5
oke,4
Bagus,4
"Shopeepaypinjam bagi saya sangat membantu. Bln desember mengajukan pinjaman ditolak, disarankan utk mencoba lagi stlh tgl 5 januari, saya coba lagi ternyata msh ditolak jg dgn alasan perilaku kredit saya nggak bagus padahal saya nggak pernah telat bayar walaupun kadang diakhir tgl jatuh tempo. Bagaimana ini solusinya?",1
"Saya tidak bisa berkomentar banyak2 menurut saya pribadi aplikasi shopeepay sangat simpel digunakan dan banyak fiturnya juga semoga kedepannya shopeepay lebih bagus lagi, eh satu lagi spinjam naikin dong limitnya biar saya ngambil lagi 😁",5
ok,5
mantap,5
sangat suka,5
good app,5
no good,1
Mantap,5
ok terimakasih shopee,4
terimakasih banyak.,5
bagus,5
😎👍,5
Simpel,5
Kebanyaan apliaksi,4
bagus lancar,1
kurang memuaakan,1
bagus cepat,5
"Qris sering tidak jadi,, aplikasi cacat",1
Ok,5
apk sangat bagus,5
baik,5
Top bgt,5
mantul,5
Mempermudah transaksi berbelanja online,5
Aplikasi yang sangat mendukung,5
Knpa di Shopee saya tidak ada pencarian nya,1
Jooossss muaaannntaaapp poolll gan.. semangat ShopeePay bantu masyarakat .. walaupun saya belum bisa menggunakan shopee paylater ataupun pinjaman tapi banyak keluarga yang telah merasakan manfaat nya,5
Mantap,5
Membantu,5
ok banget...,5
"aplikasinya masih kurang menarik, masa mau bikin akun baru gabisa, udh beberapa kali di coba ulang tetep aja gabisa",1
Ga di setujui mulu ribet,5
mantap,5
Baru daftar akun di bekukan Mau hapus akun di tolak Costumer low respon,1
"Barang2nya oke,original,",5
Biar bisa belajah,5
Menu tagihan kurang lengkap. Minus Pascabayar. Padahal di app Shopee ada,1
"Aplikasi apaan,saldo saya terpotong shopee pay plus, berlangganan, tidak berguna",1
bagus aja sih,5
ShopeePay Oke Baik Banget Boss,5
Sangat puas,5
Baik,5
Apk tai,1
"Shopee sangat membantu, jadi ga perlu hidupin motor hanya ut belanjanya.cukup buka hp masuk k aplikasi langsung order..habis itu datang belanjanya",5
Shopeepay mantap,5
"Aplikasi nya cukup worth it dan memudahkan transaksi, perkembangan terus aplikasinya..",5
Baik,2
good,5
Bagus,5
Sangat membantu,5
Berguna banget dalam masalah pembayaran dan bisa transfer kemanapun bebas admin..,5
"dengan kemudahan pembayaran digital, banyak promo dan Voucher nya. Tetap pertahankan & Tingkatkan pelayanan.",5
Keren,5
mudah dan aman,5
Sangat bermanfaat,5
memudahkan dalam pembayaran.tp saya belum perna mencoba hutang Sshopeepay,5
Sangat membantu dalam transaksi shopee,5
bagus bagus bagus,5
Sangat bagus,5
oke,5
Bagus,5
mempermudah transaksi,5
Aplikasi yang sangat membantu pembayaran digital,5
Sangat bagus,5
baik,4
Bagus,5
bagus bgt,5
mantap shope bertahan terus,5
oke,5
Keren,3
nyaman,4
Winda,5
Semoga mangkin mudah digunakan,5
Mantab Jhiwa.😅,5
ok,5
good,5
"Rugi banget pake shopee pay, too up di potong 500 perak, mengajukan pinjaman di potong admin, mengembalikan lebih banyak dari yang di pinjam....",1
Aplikasinya jadi lebih ringan cocok,5
Tolong limitnya ditambahin lagi 🙏,5
menu keuangan tidak bisa di buka blank putih,5
good,5
Sangat membantu,5
mantap,5
Shopee wokeh,5
Shopping ya pake shopeePay,5
"dompet elektronik terbaik menurut saya, pembayaran cepat dan mudah",5
Okey,5
mempermudah pembayaran dimana pun kita berada,5
Mantaaaaap,5
good,5
Lumayan mempermudah dalam transaksi,5
mudah jadinya,5
ok,5
"Bintang 1 dulu,karena selalu gagal dan data juga tidak aman!!",1
Ok,5
Mantap,5
👍👍👍👍,5
"Harga produk paling murah,menanggapi masalah cepat,pengiriman tepat waktu dan memuaskan,proses peminjaman juga cepat sehingga sangat membantu pelanggan.",5
"mantap, sangat membantu",5
mudah di gunakan,5
Good Nice,5
"sangat membantu i love shopee,",5
Sangat mempermudah transaksi keuangan,5
TDK bisa bikin mbanking noh Susah,4
Sangat flexible dan aman,5
Great,5
mudah digunakan,5
Iya,5
Bintang satupun gak pantes buat aplikasi ini karena proses pengembalian dana lama ...aplikasi sampah gak ada guna juga chat customer shopee kerja lambat,1
ok banget,5
Ok,5
Sangat puas dengan shopeepay,5
Sngat vermanfat,2
mantap...,5
Struktur olahraga gym.,5
Ok baik,5
Aplikasi sangat membantu,5
Masih baru nyobain,5
box kotak dkfxewee,4
sangattt bagus karna mempermuda proses transaksi apapun itu trimakasihh fitur lengkap dan mudah penggunaannya,5
Mantep banget deh,5
Sangat baik,5
mantap,5
@herisoewardi1991 shopee.co.id/herisoewardi1991,3
Sangat membantu kebutuhan keluarga,5
"Aplikasi yang sangat bagus sekali , saya suka, sukses terus",5
Mantep,3
Keren,5
good,5
Ok,5
Gudddddd,5
ok,5
mudah dan cepat,5
Sangat mudah dalam transaksi,5
Mantap... Mantap... Mantap... Josss gandos pokoke is the best 👍🏻👍🏻👍🏻,5
"A ya, ora ngerti we QQ",1
Godd,5
Mantap,5
Sangat bagus,5
OKEY,5
Kebijakan intern spaylatter merugikan,2
Klu lancar kasih pull bintang ya,5
Best is the best,5
mantap,5
Agak ribet,5
Lumayan bagus bisa pake dmna aja cuma kadang suka eror,5
Topq,4
"Cukup membantu dalam berbagai proses transaksi, semuanya menjadi lebih mudah dg shopee pay👍",5
sangat membantu sekali,5
"Katanya bunga 0,07% nyatanya bunga 5.00%, mendi ubah aja.. Ntar yg lain pada tergiur karna bunga rendah pas di cek ternyata tinggi, tapi kelebihan lainnya bagus.. Bisa di pakai saat genting",3
keren,4
"Sangat baik sekali, terima kasih.",5
"APK SAMPAH, TOP UP BUAT BELI BARANG MENDESAK MALAH SALDONYA GA MASUK""",1
"mantap habis, mantap banget jos pokoknya",5
"Buruk sekali, memang sih bebas biaya admin, tapi aplikasi nya sangat tidak membantu ketika kita butuh dana untuk mentransfer ke wallet, bukan nya membantu, malah bikin menunggu nunggu",2
Ok,5
Nice,5
Yups,5
Bagus tapi gak kasih saya koin di shope,5
Lacar jaya,5
Sangat membantu buat keperluan yg mendesak ketika lagi membutuhkan dan sangat mudah pembayarannya!!!!,5
membantu se_X,5
Saya ada saldo 25rb di shoopepay..tapi waktu saya transfer kenapa gagal dan disuruh menghubungi CS nya ?,1
Bermanfaat 🤲🙏,5
MANTAP! Cuma agak lelet aja,5
Claim 50 000 dari shopee pay tidak dapat..gimana cara dapatinnya,5
"Buruk, verifikasi berkali"" gagal mending pake yg lain saja.... Menyesal saya",2
Mantap,5
"Saya kasih bintang satu ya, soalnya gimana mau transfer uang kalo gabisa di verifikasi! Uang saya masih ada di apk ini dan gabisa diapa-apain lagi. Beberapa kali di verifikasi tetep gagal gara2 nomor sebelumnya masih ada padahal udah di hapus akun satu lagi tapi tetep gabisa verifikasi akun.",1
Dulu saya pakei nomer yg sudah hilang punya dana pay 150000vribu .hp hilang dah hilang jugga akum nya,3
Shopee membantu pekerjaan saya,5
mantapp,5
"saya sangat senang sekali dgn adanya layanan app shopeeply. sangat membantu sekali buat keseharian keperluan yg diminati . dan mudah cepat cara membayarnya, bisa dicairkan juga. sangat baik . ayooo yg belum download app shopeeply segera mendownload dan mencoba fitur-fitur baru nya. Terimakasih",5
Sanggat bagus,5
Mantap,5
Aplikasinya bagus banget,5
Oke bos,5
muantap,5
jos bisa banyak merchant gak seperti sebelah harus sesama pengguna,5
Malaikat Penolong,5
Mantappp,5
good,4
Ok sip,5
Mantap luar biasa,5
Ok,5
MANTAP,5
Cukup menarik,5
"Jum100125, 19.51 Jozz...",4
ok,4
membantu bgt,5
shopeepay mantap TF kman aja mudah dan aman,5
mantap,5
meding an kredivo. tagihan gak sesuai tanggal. aplikasi ajinng,1
Good apk,5
rarwwwwww,5
Ok,5
Setiap pembayaran lewat shopeepay lebih cepat dan praktis,5
"bagus, mempermudah sekali",5
Krennnn shopeepay_QRIS,5
aman,5
good,5
Sangat membantu,5
Bagus,5
ok,5
suka,5
mantap,5
Lanjut,5
Cukup nyaman layanan sopi pay,5
sangat membantu lanjut,5
olshop terbaik terlengkap,5
"Bagus,transfer kemana aja bisa tanpa biaya administrasi best lah",5
Pelayanan dan respon sangat memuaskan,5
ok,5
Acc lah,5
mudah simple dan keren,5
sangat membantu,5
Dapat apa di sini cuma gitu2 saja pengguna juga gak dapat apa2 paling juga hanya jual aplikasi di google.,5
sangat membantu,5
Mencoba,5
"Jum100125, 15.37 Jozz...",4
sering ada bug,2
"Apk bagus, buat pembayaran hak pake lama dan akurat",5
Ok banget😄,5
keren,5
Mau coba,5
gabisa ngirim ke e wallet,1
oke,5
the best,5
Pemabayaran qris selalu terkendala lelet dan gk mau jalan,1
Aplikasi yg bagus,5
"gg pokoknya, mau bayar apapun sangat mudah dan simple",5
Bikin simpan duit dan beli online jadi gampang,5
"bagus,,,cuma loadingnya jadi agak berat",5
"jl raya manukan krajan blok 31 j no,5 tandes surabaya toko sumber rejeki",5
Luar biasa,5
Baru di coba,4
oke,5
mantap,5
Maap Saya Ada Kendala Tolong Segera Atasi Setiap Saya Mau Belanja Dan Bayar Pake PyLater Pake Qris Dan Setelah Saya Masukan Pin Setelah Ituh Ada Tulisan Konpirmasi Tapi Tidak Bisa Di Pencet Alhasi Saya Tidak Bisa Belanja Selalu Gagal.,3
App happy Always give us profitly,5
good,5
ok,5
Mantap,5
lebih simple,5
Bayar Hutangmu shopee 350.000 dolar,1
good,5
👍👍👍,5
Llost limit^d eclpse,1
Sangat membantu dalam proses pembayaran,5
sangat membantu sekali,5
Baguss sih sangat membantu tp tolong di permudah untuk pinjamannya mantab,5
Kuran memuaskan,2
👍🏻👍🏻👍🏻👍🏻👍🏻,5
semua jadi mudah,5
simple dan enak,5
mantap,5
sangat berguna saat di perlukan👍,5
tetap tingkatkan pelayanan kepada pelanggan,5
mantul,5
"Nggk jelas shopee ini,udah jel as2 lupa pasword email dan nomor masih aja nggk ada solusi nya, tolong lah ktp saya sudah di pakai di akun lama masak nggk bisa cari akun pakai nomor nik",1
sangat memuaskan,5
Sangat membantu ekonomi keluarga terimakasih 🙂,5
sangat membantu..tolong limite spinjam saya di upgrade kk,5
Aplikasi sangat membantu pembayaran,5
baik,5
Monyet sopi,1
Yokan,5
Bagus mantap,5
keren pisan,5
Good,5
aplikasi mudah di gunakan,5
puas dengan shoppe,5
aneh gak ada yang co pulsa di shopee tiba² sudah terbeli mojon diperbaiki lagi,3
Mantap cocok untuk segala kepentingan mendesak,5
Jangan lupa makan.,5
bagus,5
bikin gampang dan nyaman,5
sangat membantu dalam transaksi,5
siiap cepet bangeut tku shopee,5
Suka.belanja.,5
Semogaa mudah,5
bagus untuk pengiriman kemana aj simple,5
Mantap sangat membantu sekali,5
mantab,5
Ok,4
invoice pembayaran nya kurang detail informasinya,2
apk ini sangat cocok untuk transaksi,5
Sangat membantu,5
sangat baik,5
"Transaksi cepat, tidak lelet, transfer bank gratissss...😍 Tapi belakangan ada menu yang tidak bisa dibuka, cuma blank putih saja. Ada baiknya kalau shopeepay memiliki call center yang bisa membantu jika ada kendala.😊",5
Mudah dan nyaman,5
Bagus,5
Shopeepay ewalet pembayaran tepat dan cepat.... Buruan download dan aktivasi....,5
sangat bagus,4
Bagus banget,5
Baguss sekali,5
Sangat bermanfaat sekali..memudahkan pembayaran😍😍😍,5
"Sangat mudah dan juga simpleuntuk pembayaran dgn masukin raf diatas"" Nikmati fitur fitur terbaru dr Shopee, bisa untuk pembayar dimanapun pakai logo yng ada Qrisnya dengan limit yang kita punya, jadi saya tidak repot harus menyiapkan uang cas, Terima kasih Shopee sudah mempermudah transaksi saya dimana pun._Terimakasih semoga kedepannya lebih berkembang lagi",5
"Dari semua aplikasi hanya shopeePay yang paling komplit aplikasinya, apalagi fitur spinjam yang sangat membantu disaat mendesak tapi kalau bisa limit pinjamannya di tambah dan tenor kalau bisa 24 bulan jika sudah lunas, jangan sampai kalah dengan aps serupa yang memberikan tenor 24 bulan, agar lebih semangat untuk kredit di spinjam. Thanks you sudah membantu saya di saat membutuhkan uang.",5
"Kalau saya bisa dapat pinjaman, baru saya download aplikasi shopepay",1
Sangat baik,5
goooood,5
Bagus,4
👍,5
Mantap,5
cocok buat nambahin,5
Amanah,5
aktivasi Gagal terus bikin jenuh uninstal aja deh mending Gopay aja ga ribet,1
Apanya yg di klaim ini kk?,5
sangat amat puas,5
mntap,5
Mudah digunakan,5
bagus,4
Apknya bagus,5
"Oke banget, ngebantu",5
"Pelayanan,,bagus ❤️💙",5
"Cuman gara gara telat sehari pembayaran spylater dibekukan padahal bulan berikutnya dilunasi sebelum bulannya. Tidak ada solusi, hubungi cs bilang dari sistem Parah sudah 1 tahun lebih dibekukan",1
Iya,5
"Shopee,kirim iPhone ke rumah ku dong hehehe",5
makasih bonusnya,5
good,5
"Sangat membantu kami,,dalam kebutuhan",5
Membantu transfer biaya gratis,5
Bagus dan memuaskan,5
memudahkan,5
mntap,3
ok banget,5
ok,5
Mamtap,5
O Sorrio,5
mantaabb,5
Sangat menarik,5
Top margotop,5
ok sukses selalu Shopee👍👍👍,5
ok,5
Aplikasi yang dapat membantu untuk meningkatkan aktivitas belanja yang baik,5
baik,5
"Saya akan menghapus aplikasi Shopee saya. Dikarenakan pihak aplikasi Shopee yang berkerjasama dengan jasa kirim memberikan sangsi kepada saya. Barang yang tidak sampai ke alamat saya, saya yang di kenakan sangsi. Terimakasih atas pelayanan buruk aplikasi Shopee",1
Mantap,4
KEBANYAKAN APLIKASI GAK JELAS MEMPERSULIT BUAT BAYAR SHOPEEPAY. SAMPAH GAK JELAS. DI APDET TUH BUAT MEMPERMUDAH BUKAN BUAT APK LAIN DI PISAH. DEV B39000,1
Gimana cara mengambil uang di shoopeepay ada keluarga yg kirim uang dari Korea tapi bingung mau ngambil dan mencairkan uang atau menarik duit melalui shoopee pay.,4
"Aplikasi bagus, sangat membantu",5
Mantap..,5
Alquran komplit sangat membantu,5
"Maaf sy kasih bintang 1, ribet banget, mau blanja cast aja g bisa, apalagi pay letter",1
sangat membantu dan oke pokoknya,5
"Untuk pembelian pulsa padahal transaksi sudah selesai saldo juga sudah terpotong tapi pulsa ngga masuk2 untuk pelaporan juga ribet banget, ngga lagi2 beli dishoppepay",1
bagussss,5
kenr,5
"Aplikasi paling ampas. Kalo tujuan lo ekspansi khusus payment tapi malah bikin orang lain gabisa bayar ini itu, MENDING DIAPUS AJA INI APLIKASI! Tiba2 logout sendiri, verif ulang. NUNGGU LAGI 1x24 JAM BUAT PAYMENT/TRANSFER. DENDA TAGIHAN GAK NUNGGU SELESAI PENYESUAIAN LU! Aplikasi AMPAS",1
Baik,5
belanja yg menyenangkan,4
Akun saya ga bis a pakek spayleter,1
"udah bener gratis top-up saldo, malah harus mininal 50k baru gratis, hmmm",1
Ok bangettt,5
bagus sekali,5
Bagus bermanfaat,5
Sangat membantu dan sangat praktis,5
sangat membantu,5
Dengan ada nya shopeepay.. semua nya jdi mudah sangat membantu sekali..,5
bangeeetttt....,5
siiiiiiiop,4
Senang menggunakan aplikasi ini,5
bagus,5
Bagus👍,5
Sangat membantu dalam proses belanja online,5
good,5
oke,5
cepat,5
Apk yg sangat di rekomendasikan bt yg blm download 👍,5
Good,5
Ok,5
Terlalu Kecewa Sama Aplikasi Ini.,1
Suka,5
Mantap,5
Mengapa ktp sudah terdaftar di paylater lain.,1
mantap,5
sudah bisa transaksi trimakasih mudah dan cepet/akurat,5
Sangat membatu mantaf,5
Wow keren,5
Josstt,5
Ok aman,5
Nice,5
mantap,5
Sangat membantu🤘,5
"Transaksi Jd Lebih Mudah, Bonus Melimpah",5
Gacooorrr gratis biaya admin transfer,5
Bagus aplikasinya engga ngelag,5
mantap,5
"Sangat membantu sekali banyak keuntungannya , banyak jugak bisa meng akses pembelian apa aja di shopeepay",5
baguss,5
"Sangat puas dgn shopee pay, sangat membantu dalam transaksi pembayaran",5
Aplikasi ngak jelas sebagai pengguna benar-benar kecewa dengan aplikasi ini. Ngak recommended emang ibu aplikasi!!!,1
Saya sdh download,5
Yoyoy top markotop,5
Mau hadiahnya ya,5
cara mengclaim 50.000 ribunya gimana,5
siip,5
👍👍,5
lumayan dpt casback 10k wkwkkk,5
sejauh ini sih bagus lancar juga pembayaran gk da kendala,4
sangat penguntungkan bayar pakai shopeeypay banyak cashbacknyaa,5
sangat berguna,5
Mantapp,5
Sangat membantu sekali,5
sangat bagus,5
Good,5
baguus,5
Shopi pay memang the bes,5
Mantap,5
ok,5
aplikasi bagus dan cepat 😍,5
"sangat membantu dalam proses pembayaran, terimakasih shopee pay",5
Spinjam tidak bisa di buka. Keuangan dibuka juga eror.,3
Nice,5
"aplikasi ga jelas, pengajuan ga pernah di acc",1
Gk bisa di aktifin lgi payah,1
Susah mendaftar kontak darurat yg saya masuk selalu di bilang no tidak aktif....,2
Ok,5
"aplikasi mantap, masukin kode ini agar kalian dapat 50.000 koin shopeepay [TZUFMTAKH]",5
Aku pengguna baru semoga hasilnya tidak mengecewakan..🙏,5
Sangat membantu,5
"Sangat mudah untk berbelanja online, yg pasti ny bnyak gratis ongkir ny 😁😁",5
like it,5
Sangat mudah,5
Kurang enjoy bos,1
ok,5
Ewallet yang cocok buat anak muda👍🏻,5
sangat baik,5
"Sangat membantu skli,utk pengembalian dana bila ada retur barang",5
Aplikasi bagus sekali pak,5
ok,5
Alhamdulillah .... Bagus,5
Ok sip bos,5
mantap jiwa bos ku,5
Maaf ya saya beri nilai 🌟 3 soalnya setiap pengajuan saya tidak pernah berhasil,3
Ok banget,5
Pelayanan cepat dan suka shopping disini,5
sangat bagus,5
Simpel dan cepat,5
good,4
mantap dan cepat,5
Terimakasih,5
cepat tidak sampai 2 menit transaksi langsung di proses,5
Sangat bagus,5
Bisa memudahkan transaksi,5
Bgus,5
nice good,5
Cukup bagus. Mudah ketika butuh mendesak. Tapi sayang nya telat dikit langsung di bekukan. 😭,5
"bagus banget aplikasi nya, sangat membantu",5
sagat baik,5
kyboard pin nya gak akses tuna netra,4
Aplikasi maling!. Se enak nya aja play store ngambil dana yang ku titipkan di shopeepay tersebut!.😭😭😭😭😭,1
"Bagus,sangat membantu",5
"Kenapa ya saya ajukan pinjaman tidak disetujui, semoga nanti bisa",5
Semua transaksi semakin mudah,5
okeee baik,5
"Sanggatt menunjang,",5
Bagus dan pas sekali untuk belanja di shoopee Enak dan memudahkan pembelanjaan,5
"awesome, easy to use",5
mudah sekali,5
Mantap banget,5
Sangat memuaskan,5
Oke,5
"Wow shopee maling uang gue , kenapa akun gue ke blokir disitu ada uang saya 2jt jangan pake aplikasi PKI ini ,tiba2 akun ke blokir uang gue 2jt lenyap, dasar aplikasi keturunan Kaum PKI",1
Samgat Membantu,5
"Mempermudah transaksi keuangan, dan banyak keuntungan dan bnyak voucher saat belanja di Shoppy",5
sungguh sangat membantu,5
Bagus sekali dan sangat berguna,5
slalu mudah sangat mmbantu,5
Mudah.,5
Baik sangat baik,5
",🤑🤑🤑💰📈",5
Mengapa Shopee Pay Later sy dibekukan ??,3
nice,5
bermanfaat....terimakasih,5
good aplikasi,5
bisa di andalkan,5
"Memang mantap memakai shopeePay dari dulu sudah bertahun -tahun saya menikmati tranfer, belanja online lancar, benar-benar membantu saya.",5
"Shopee Cod..Shopeepay...ShopeeShop... disini bae,, gampang buaangettt 👍👍👍",5
Buruk/ penipu kadal gak memuaskan👺👺👺,1
Sangat membantu,5
Mudah digunakan,5
Bgus,3
Memudahkan untuk belanja,5
Saya kasih 3 bintang dlu KLO di setujui spaylater baru 5 bintang,3
Good,5
spnjam,5
Coba dulu..klw bagus..tambah bintang,4
Baik,5
"aplikasinya bagus, ringan, simpel untuk digunakan",5
Aplikasi yang sangat membantu Maaantaaab,5
"baik,tapi verivikasi wajah melulu jadi aman",5
Aplikasi bagus memudahkan dalam hal bayar membayar di aplikasi shoppe menggunakan shoppe pay (EQGCXPXP7) input pakai kode ini biar dapat bonus tambahan. Bintang 5,5
paylater saya tidak bisa buat beli pulsa,1
Ok,5
Mantappp,5
"Aplikasi pembayaran ini selalu memudahkan saya dalam melakukan segala macam transaksi, bonus ada dipapan nama, baik itu melakukan transfer Via bank, Top up ke sesama E-walet dan melakukan transaksi dengan QRIS aku sudah menjadi pengguna tetap selama lebih dari awal, dan saya merasa sangat puas dengan adanya aplikasi ini, meskipun kadang ada eror, tapi tak lama kemudian kembali berjalan normal seperti semestinya",5
Mantap,5
S@ya sangat berterimakasih kepada aplikasinya,4
"Cs atas nama Zhareena harus diberhentikan.. selain tdk responsif, dia tdk beri solusi",1
Terbaik,5
"aplikasi yang sangat sederhana, Jangan buat aku jadi bingung dan greget, pakai undangan di atas agar dapat bonus. Token dirumah saya tadi sudah habis makanya mau isi token lewat shopeepay eh malah gabisa terus, pas dibalas dan diperbaiki oleh tim. Alhamdulillah bisa, dan tokenku nyala lagi, lain kali jangan gangguan lagi dong kak, biar pas ngisi sayanya jadi gak ribet liatnya. Untung tadi udah selesai masalahnya, coba kalau belum udah inimah gak akan nyala kak sampai pagi token dirumahku",5
aplikasi terpercaya,5
Kenapa regestrasi KTP saya di tolak padahal asli digital dari pemerintah,5
Sangat bagus Banyak pinjaman,5
Kalau bagus saya tambah,4
Sangat bagus apk ini,5
Baik,5
gampang penggunaannya.,5
Bagus banget,5
mantap,5
Nice,5
bagus lek,5
Lumayan APLbisa membantu dalam segala kebutuhan,5
Mantap,5
Bnyak hal yg bisa membantu mempermudah dan meringankan,5
Good S Q,5
Selalu dimudahkan dengan shopeePay,5
Belum tahu cara ngotak-ngatik aplikasi shopee,5
kenapa gak bisa buat bayar,5
"mantap, sistem sama Dengan gopay wallet",5
"saya download ini karna apk shopee menjanjikan dpt 50K dari shopepay, semoga membayar karena saya udh unduh",5
Good,5
"Kata nya Gratis biaya admin 1000, kalo isi saldo minimal 5000, kok masih di potong juga 1000. Sungguh Membohongkan",1
nyaman dan mudah di gunakan,5
Good app,5
Baik,5
👍👍👍,5
Sangat membantu,5
keren,5
Ok,5
mantap aplikasi jnii memudahkan segalanyaa,5
sangat membantu mempermudah pembayaran dari pada lewat transfer bank...menurut saya bagus sih,5
mantap,5
bagus,5
bagus,3
"Rincian Transfer ke e-wallet gak jelas. TF 11.000,- ternyata pas di terima cuman 10.000,- kirain gratis TF. Deskripsi tolong diperjelas.",1
bagus,5
Mantap aplikasi nya sangat membantu,5
good job,5
mudah di gunakan,5
Berbelanja mudah dn transaksi apa pun cepat dan lancar,5
godjop,5
bgus,5
jios,5
Semakin lama semakin muak ....TDK pernah berpihak SM konsumen meskipun ketipu SM toko...ada pa shopee.....lu kura kira dsini aj tempat belanja..lu kura kira sy mau bertahan disini yg semakin hari kyak hewan,1
Bagus,4
Membantu dalam embelnjaan murah,5
bagus,4
good,5
Ok,5
D tolak terus,1
Jelek layanan nya. Tiap hari chek in kadang tidak nambah harinya. Capek di php. Sdh chek in hr ke 3 bsknya balik lagi hari ke 1. Perbaiki apknya.,2
Keren bolo,5
mantabbbb,5
luar biasa,5
cepatttt,5
Aplikasi aneh ngirim foto ke pembeli aja ga bisa,1
menarik sekali,5
Aplikasi nya sangat bermanfaat dan sangat bgus,5
Albamdulillah sangat bagus dan membantu bAnget,5
sangat membantu,5
Berharap,5
Sukses selalu,5
Aman dan terpercaya. Shopeepay ok..,5
Aplikasi terbaik menurut pengalaman saya trimakasih ShopeePay,5
Semoga bisa membantu saya buat modal usaha...,5
mantab,5
ok trima kasih,5
Bagus,5
"Baru kali ini terima dana kena potongan admin 1000 , cuma di apk orange !! Parah banget !!",1
Good apps,5
shopee oke bagus,5
mantap,5
Aplikasi ini sangat membantu saya,5
mantan,4
sangat membantu sekali pembayaran apapun jadi mudah terimakasih shopepay,5
Amazing,5
Lebih praktis dan mudah,5
"alhamdulillah mantap, sangat membantu, aplikasi ringan, mudah digunakan",5
Bagus,5
Bagus sekali,5
Mantap,5
"Fitur spinjam ga bisa kebuka,saya mau bayar tagihan dari tgl 27 Desember sampai sekarang jadi belum bisa bayar, tolong dong solusinya..",1
mantap,5
Ya bagus aplikasi nya tpi sya belum distujui pengajuan nya,5
Gacor,5
Keren,5
Merasa terbantu,5
terlalu ribet kon*oll,2
Terlalu keren,5
